"id","raw","encoded","pred","label","dist","training_count","not_exact"
"4623","1/4 cup cornstarch","1 / 4 cup cornstarch","cornstarch","cornstarch","0.057643704","46","False"
"2610","2 tbsp chopped fresh basil","2 tbsp chopped fresh basil","fresh basil","fresh basil","0.045210242","39","False"
"452","4 oz. Shredded Red Cabbage","4 oz . Shredded Red Cabbage","red cabbage","red cabbage","0.13304594","17","False"
"1287","Water or unsweetened almond milk ((to thin))","Water or unsweetened almond milk ( ( to thin ) )","tap water","tap water","0.2410035","92","False"
"6509","8-10 Bibb lettuce leaves","8 - 10 Bibb lettuce leaves","butter lettuce","butter lettuce","0.23242146","9","False"
"4897","1 tablespoon minced garlic","1 tablespoon minced garlic","garlic","garlic","0.1493368","331","False"
"1036","4 cup vegetable broth","4 cup vegetable broth","vegetable broth","vegetable broth","0.029293697","29","False"
"2839","4 garlic cloves, minced","4 garlic cloves , minced","garlic","garlic","0.17213297","331","False"
"1226","1 bunch cilantro, chopped (about 1 1/2 cups/75 grams), divided","1 bunch cilantro , chopped ( about 1 1 / 2 cups / 75 grams ) , divided","cilantro","cilantro","0.15471214","117","False"
"6434","2 carrots, chopped","2 carrots , chopped","carrot","carrot","0.062872835","61","False"
"6043","1 Serrano Pepper","1 Serrano Pepper","fresh serrano pepper","fresh serrano pepper","0.18274102","10","False"
"556","1/4 cup olive oil","1 / 4 cup olive oil","olive oil","olive oil","0.09759797","223","False"
"386","1/4 teaspoon cayenne pepper","1 / 4 teaspoon cayenne pepper","ground red pepper","ground red pepper","0.13879195","33","False"
"2737","1½ tablespoons honey","1 1 / 2 tablespoons honey","honey","honey","0.06218171","60","False"
"8724","1 small to medium sized spaghetti squash (halved and seeds removed)","1 small to medium sized spaghetti squash ( halved and seeds removed )","spaghetti squash","spaghetti squash","0.19997352","5","False"
"4464","¼ teaspoon ground black pepper","1 / 4 teaspoon ground black pepper","ground black pepper","ground black pepper","0.04070295","200","False"
"6161","1 tablespoon minced peeled fresh ginger","1 tablespoon minced peeled fresh ginger","fresh ginger","fresh ginger","0.084775046","124","False"
"3180","1/2 teaspoon pepper","1 / 2 teaspoon pepper","ground black pepper","ground black pepper","0.098999694","200","False"
"3270","1/2 teaspoon salt","1 / 2 teaspoon salt","table salt","table salt","0.10334338","208","False"
"8642","1 teaspoon fennel seeds, crushed","1 teaspoon fennel seeds , crushed","whole fennel seed","whole fennel seed","0.21254535","4","False"
"6487","2 Tbsp chopped parsley","2 Tbsp chopped parsley","fresh parsley","fresh parsley","0.10422288","85","False"
"7296","8 eggs","8 eggs","egg","egg","0.09961298","93","False"
"2971","3 tablespoons honey","3 tablespoons honey","honey","honey","0.07521674","60","False"
"6651","½ cup dry white wine or broth","1 / 2 cup dry white wine or broth","white wine","white wine","0.1208522","19","True"
"4418","Panko bread crumbs for breading","Panko bread crumbs for UNK","panko bread crumb","panko bread crumb","0.13217458","23","False"
"6647","1 teaspoon lemon juice","1 teaspoon lemon juice","lemon juice","lemon juice","0.05324543","66","False"
"7361","1 medium yellow or red onion, finely chopped","1 medium yellow or red onion , finely chopped","yellow onion","yellow onion","0.07378846","164","False"
"3706","3 green onions, sliced (or fresh cilantro)","3 green onions , sliced ( or fresh cilantro )","green onion","green onion","0.102657154","109","False"
"8251","4 teaspoons curry powder","4 teaspoons curry powder","curry powder","curry powder","0.087095946","22","False"
"4290","1/4 of a red onion","1 / 4 of a red onion","red onion","red onion","0.032202426","67","False"
"7616","Juice and zest of 4 limes","Juice and zest of 4 limes","lime","lime","0.2534303","24","False"
"3334","1 cup frozen peas","1 cup frozen peas","frozen pea","frozen pea","0.06836377","12","False"
"2104","2 Tbsp butter","2 Tbsp butter","unsalted butter","unsalted butter","0.13644205","93","False"
"7813","2 tablespoons rice vinegar","2 tablespoons rice vinegar","rice vinegar","rice vinegar","0.04098645","44","False"
"898","2 tablespoons olive oil","2 tablespoons olive oil","olive oil","olive oil","0.06266169","223","False"
"8607","1 tablespoon olive oil","1 tablespoon olive oil","olive oil","olive oil","0.07950099","223","False"
"4666","1/2 cup tomato sauce","1 / 2 cup tomato sauce","tomato sauce","tomato sauce","0.07336499","13","False"
"8766","1 tsp lemon zest","1 tsp lemon zest","lemon zest","lemon zest","0.0720719","13","False"
"2768","1/2 teaspoon dried oregano","1 / 2 teaspoon dried oregano","dried oregano leaf","dried oregano leaf","0.0512093","41","False"
"2420","3 green onions, minced","3 green onions , minced","green onion","green onion","0.09249628","109","False"
"6452","1 scallion, finely chopped","1 scallion , finely chopped","green onion","green onion","0.2175887","109","False"
"7902","2 tsp red wine vinegar","2 tsp red wine vinegar","red wine vinegar","red wine vinegar","0.03595888","17","False"
"8753","1 teaspoon crushed red pepper","1 teaspoon crushed red pepper","crushed red pepper flake","crushed red pepper flake","0.08856941","57","False"
"6254","2 tablespoons chopped parsley (plus more for garnish)","2 tablespoons chopped parsley ( plus more for garnish )","fresh parsley","fresh parsley","0.11816499","85","False"
"5486","1 tablespoon vegetable oil","1 tablespoon vegetable oil","vegetable oil","vegetable oil","0.05327482","80","False"
"470","2 cups onion chopped","2 cups onion chopped","yellow onion","yellow onion","0.12502435","164","False"
"7283","3/4 teaspoon kosher salt","3 / 4 teaspoon kosher salt","kosher salt","kosher salt","0.053277336","113","False"
"1313","2 oz. shredded queso fresco","2 oz . shredded queso fresco","queso fresco","queso fresco","0.14586675","4","False"
"855","1/2 cup vanilla Greek yogurt*","1 / 2 cup vanilla Greek yogurt","low-fat vanilla greek yogurt","low-fat vanilla greek yogurt","0.12310542","3","False"
"3656","1/4 cup panko","1 / 4 cup panko","panko bread crumb","panko bread crumb","0.24016127","23","False"
"3856","10 large eggs","10 large eggs","egg","egg","0.08107278","93","False"
"4552","1/8 teaspoon freshly ground black pepper","1 / 8 teaspoon freshly ground black pepper","ground black pepper","ground black pepper","0.05018132","200","False"
"1105","1 large onion, minced (about 1 1/2 cups), divided","1 large onion , minced ( about 1 1 / 2 cups ) , divided","yellow onion","yellow onion","0.19181716","164","False"
"8145","¼ cup Hoisin Sauce","1 / 4 cup Hoisin Sauce","hoisin sauce","hoisin sauce","0.18078595","10","False"
"3641","1 cup diced zucchini","1 cup diced zucchini","zucchini","zucchini","0.047913704","26","False"
"7499","3 tablespoons salted butter","3 tablespoons salted butter","salted butter","salted butter","0.10162155","2","False"
"5458","3 tablespoons pure maple syrup","3 tablespoons pure maple syrup","maple syrup","maple syrup","0.05047096","17","False"
"2423","2 tablespoons honey (more to taste)","2 tablespoons honey ( more to taste )","honey","honey","0.16028221","60","False"
"6479","4 eggs","4 eggs","egg","egg","0.09453671","93","False"
"7463","½ cup chopped cilantro, thin stems included","1 / 2 cup chopped cilantro , thin stems included","cilantro","cilantro","0.09639524","117","False"
"830","Freshly squeezed juice of 1 lemon, more to taste","Freshly squeezed juice of 1 lemon , more to taste","lemon juice","lemon juice","0.17954597","66","False"
"7445","1 (6-ounce) can tomato paste","1 ( 6 - ounce ) can tomato paste","tomato paste","tomato paste","0.07140567","26","False"
"5482","1/4 cup peanuts, chopped","1 / 4 cup peanuts , chopped","dry-roasted peanut","dry-roasted peanut","0.2291748","18","False"
"6167","1 cup carrots, sliced or diced small","1 cup carrots , sliced or diced small","carrot","carrot","0.11344646","61","False"
"5472","1/2 Tbsp neutral cooking oil**","1 / 2 Tbsp neutral cooking oil","vegetable oil","vegetable oil","0.19719642","80","True"
"1556","1 teaspoon freshly ground black pepper","1 teaspoon freshly ground black pepper","ground black pepper","ground black pepper","0.04816198","200","False"
"2148","10 ounces wild tail-on jumbo shrimp","10 ounces wild tail - on jumbo shrimp","shrimp","shrimp","0.1931645","38","True"
"908","3 tablespoons ghee, butter, safflower oil or grapeseed oil","3 tablespoons ghee , butter , safflower oil or grapeseed oil","unsalted butter","unsalted butter","0.17848837","93","False"
"3852","1 cup fresh spinach","1 cup fresh spinach","fresh spinach","fresh spinach","0.015316086","50","False"
"7341","1/3 cup grated Parmesan","1 / 3 cup grated Parmesan","grated parmesan cheese","grated parmesan cheese","0.13001305","57","False"
"698","Cooking spray","Cooking spray","cooking spray","cooking spray","0.13056059","30","False"
"7808","2 teaspoons minced fresh garlic","2 teaspoons minced fresh garlic","garlic","garlic","0.2229918","331","False"
"7784","1 clove garlic","1 clove garlic","garlic","garlic","0.12490371","331","False"
"2190","1 small clove garlic, minced","1 small clove garlic , minced","garlic","garlic","0.16730762","331","False"
"3157","1/4 teaspoon ground black pepper","1 / 4 teaspoon ground black pepper","ground black pepper","ground black pepper","0.04070295","200","False"
"8700","1 or 2! avocados, thinly sliced","1 or 2 avocados , thinly sliced","hass avocado","hass avocado","0.20232262","64","False"
"3216","black pepper, to taste","black pepper , to taste","ground black pepper","ground black pepper","0.18428876","200","False"
"7512","1/2 teaspoon black pepper","1 / 2 teaspoon black pepper","ground black pepper","ground black pepper","0.19510871","200","False"
"6026","1 teaspoon cumin","1 teaspoon cumin","ground cumin","ground cumin","0.13541065","72","False"
"2397","1/4 cup chopped fresh cilantro","1 / 4 cup chopped fresh cilantro","cilantro","cilantro","0.11424836","117","False"
"5309","5 teaspoons lower-sodium soy sauce","5 teaspoons lower - sodium soy sauce","low-sodium soy sauce","low-sodium soy sauce","0.06027177","38","False"
"4665","2 cups chicken broth","2 cups chicken broth","chicken broth","chicken broth","0.040651303","56","False"
"3028","1 cup uncooked basmati rice","1 cup uncooked basmati rice","white rice","white rice","0.09617999","25","True"
"6544","2 cups cherry tomato, halved","2 cups cherry tomato , halved","cherry tomato","cherry tomato","0.055321634","27","False"
"8","Â¼ cup Panko Breadcrumbs","UNK 1 / 4 cup Panko Breadcrumbs","panko bread crumb","panko bread crumb","0.17186318","23","False"
"3165","1/2 tsp salt","1 / 2 tsp salt","table salt","table salt","0.124667585","208","False"
"2353","1 tsp sugar - optional (Note 1)","1 tsp sugar - optional ( Note 1 )","white sugar","white sugar","0.21348071","51","False"
"2840","1 medium sweet potato, cubed","1 medium sweet potato , cubed","sweet potato","sweet potato","0.048364043","22","False"
"169","1/2 large onion, chopped","1 / 2 large onion , chopped","yellow onion","yellow onion","0.12563233","164","False"
"6152","12 ounces pork tenderloin, trimmed, cut into 1 1/2x1/4-inch strips","12 ounces pork tenderloin , trimmed , cut into 1 1 / UNK / 4 - inch strips","pork tenderloin","pork tenderloin","0.19414522","19","False"
"6366","3-4 smashed and rough chopped garlic cloves","3 - 4 smashed and rough chopped garlic cloves","garlic","garlic","0.16176665","331","False"
"4660","½ teaspoon garlic powder, to taste","1 / 2 teaspoon garlic powder , to taste","garlic powder","garlic powder","0.10751802","53","False"
"2936","1/4 cup (60 mL) balsamic vinegar","1 / 4 cup ( 60 UNK ) balsamic vinegar","balsamic vinegar","balsamic vinegar","0.12365517","17","False"
"8320","1/2 teaspoon salt","1 / 2 teaspoon salt","table salt","table salt","0.10334338","208","False"
"876","1 Bird's Eye Chile Pepper","1 UNK s UNK Chile Pepper","bird's eye chili pepper","bird's eye chili pepper","0.19729921","14","False"
"2241","5-6 large sweet onions, sliced","5 - 6 large sweet onions , sliced","yellow onion","yellow onion","0.19132468","164","False"
"1324","4 basil leaves, torn","4 basil leaves , torn","fresh basil","fresh basil","0.14137325","39","False"
"4677","1 14 ounce package extra firm tofu, frozen and thawed","1 14 ounce package extra firm tofu , frozen and thawed","firm tofu","firm tofu","0.21358457","12","True"
"5491","1 teaspoon chili powder","1 teaspoon chili powder","chili powder","chili powder","0.049947627","39","False"
"8471","2 medium summer squash and or zucchini, sliced into rounds","2 medium summer squash and or zucchini , sliced into rounds","yellow squash","yellow squash","0.14144784","5","False"
"4201","1/4 red onion, (thinly sliced)","1 / 4 red onion , ( thinly sliced )","red onion","red onion","0.056783933","67","False"
"7860","1 tablespoon minced fresh ginger","1 tablespoon minced fresh ginger","fresh ginger","fresh ginger","0.08093348","124","False"
"4484","1 teaspoon rice wine vinegar (see note)","1 teaspoon rice wine vinegar ( see note )","rice vinegar","rice vinegar","0.13760155","44","False"
"5074","3 garlic cloves, minced","3 garlic cloves , minced","garlic","garlic","0.17069179","331","False"
"8867","1 egg white (*)","1 egg white ( )","egg white","egg white","0.06445811","6","False"
"3502","2 bell peppers, thinly sliced","2 bell peppers , thinly sliced","green bell pepper","green bell pepper","0.13569929","32","False"
"4571","1 litre beef stock","1 UNK beef stock","beef broth","beef broth","0.08463528","17","False"
"7859","4 tablespoons ghee (sold in Indian stores and fancy food shops) or clarified butter; vegetable oil can be substituted","4 tablespoons ghee ( sold in Indian stores and fancy food shops ) or clarified butter vegetable oil can be substituted","unsalted butter","unsalted butter","0.18892427","93","True"
"8988","2 plum tomatoes, each cut lengthwise into 4 slices","2 plum tomatoes , each cut lengthwise into 4 slices","tomato","tomato","0.19967398","57","True"
"2392","2 tablespoons plus 2 teaspoons extra-virgin olive oil","2 tablespoons plus 2 teaspoons extra - virgin olive oil","extra-virgin olive oil","extra-virgin olive oil","0.06309838","50","False"
"4804","1/2 teaspoon salt ((or to taste))","1 / 2 teaspoon salt ( ( or to taste ) )","table salt","table salt","0.10328349","208","False"
"3730","3 medium carrots, peeled and cut into 1-inch chunks","3 medium carrots , peeled and cut into 1 - inch chunks","carrot","carrot","0.12459412","61","False"
"2023","2 tbsp olive oil, divided","2 tbsp olive oil , divided","olive oil","olive oil","0.09341598","223","False"
"5372","sesame seeds, for topping (optional)","sesame seeds , for topping ( optional )","hulled white sesame seed","hulled white sesame seed","0.19214764","26","False"
"2826","1 tbsp Worcestershire sauce","1 tbsp Worcestershire sauce","worcestershire sauce","worcestershire sauce","0.076494366","24","False"
"8322","black pepper to taste","black pepper to taste","ground black pepper","ground black pepper","0.1877472","200","False"
"6778","6 eggs","6 eggs","egg","egg","0.10644372","93","False"
"2409","Pinch of sugar","Pinch of sugar","white sugar","white sugar","0.23243812","51","False"
"4024","1 tsp mild chili powder","1 tsp mild chili powder","chili powder","chili powder","0.19221649","39","False"
"5457","1/4 teaspoon red pepper flakes","1 / 4 teaspoon red pepper flakes","crushed red pepper flake","crushed red pepper flake","0.078821704","57","False"
"3365","4 ounces herbed goat cheese","4 ounces herbed goat cheese","crumbled fresh soft goat cheese","crumbled fresh soft goat cheese","0.19736218","12","True"
"981","2 tbsp white wine vinegar","2 tbsp white wine vinegar","white wine vinegar","white wine vinegar","0.04465211","11","False"
"7603","3/4 cup frozen shelled edamame, thawed (or lima beans)","3 / 4 cup frozen shelled edamame , thawed ( or lima beans )","frozen edamame","frozen edamame","0.1587172","3","False"
"8102","sea salt (to taste)","sea salt ( to taste )","table salt","table salt","0.15115245","208","True"
"8100","3 teaspoons white vinegar","3 teaspoons white vinegar","white vinegar","white vinegar","0.07035022","3","False"
"4533","¼ cup rice wine vinegar","1 / 4 cup rice wine vinegar","rice vinegar","rice vinegar","0.14501548","44","False"
"3580","1/4 tsp garlic powder","1 / 4 tsp garlic powder","garlic powder","garlic powder","0.06479259","53","False"
"6777","cooking spray","cooking spray","cooking spray","cooking spray","0.0","30","False"
"5162","1 lime","1 lime","lime","lime","0.069691114","24","False"
"6533","1/3 cup water","1 / 3 cup water","tap water","tap water","0.07444304","92","False"
"3490","Worcestershire sauce","Worcestershire sauce","worcestershire sauce","worcestershire sauce","0.04334019","24","False"
"6071","4 (2-oz.) whole-wheat hoagie rolls, split","4 ( 2 - oz . ) whole - wheat hoagie rolls , split","sandwich roll","sandwich roll","0.27384818","2","True"
"8996","2 teaspoons smoked paprika","2 teaspoons smoked paprika","smoked paprika","smoked paprika","0.09494582","20","False"
"8922","3/4 cup fresh blackberries","3 / 4 cup fresh blackberries","blackberry","blackberry","0.15443152","2","False"
"3279","1 tablespoon fresh orange juice","1 tablespoon fresh orange juice","orange juice","orange juice","0.056765545","13","False"
"2497","1 1/4 cups water","1 1 / 4 cups water","tap water","tap water","0.069734536","92","False"
"2960","10 green olives, pitted and chopped","10 green olives , pitted and chopped","olives","olives","0.18331316","14","True"
"7271","2 teaspoon dried oregano","2 teaspoon dried oregano","dried oregano leaf","dried oregano leaf","0.05965938","41","False"
"1367","2 teaspoons lemon juice","2 teaspoons lemon juice","lemon juice","lemon juice","0.08884818","66","False"
